name,source,gender,wikidata,type
Graf-Moy-Straße,wikidata,F,Q106255016,way
Imma-Mack-Platz,wikidata,F,Q1895982,relation+way
Katharina-Geisler-Straße,wikidata,F,Q106255334,way
Katharina-Mair-Straße,wikidata,F,Q106255346,way
Lena-Christ-Straße,wikidata,F,Q77925,way
Lise-Meitner-Straße,wikidata,F,Q56189,way
Marienplatz,wikidata,F,Q345,relation+way
Möhlestraße,wikidata,F,Q106255555,way
Therese-von-der-Vring-Straße,wikidata,F,Q1310355,way
Weinmiller-Straße,wikidata,F,Q106255758,way
Abelestraße,wikidata,M,Q1372373,way
Adalbert-Stifter-Straße,wikidata,M,Q168542,way
Adolph-Kolping-Straße,wikidata,M,Q60619,way
Albert-Brey-Straße,wikidata,M,Q106254006,way
Albert-Sigismund-Straße,wikidata,M,Q86017,way
Alexander-von-Humboldt-Weg,wikidata,M,Q6694,way
Alois-Steinecker-Straße,wikidata,M,Q2650465,way
Angererweg,wikidata,M,Q1706468,way
Angermaierstraße,wikidata,M,Q1503550,way
Aribostraße,wikidata,M,Q172523,way
Arndtstraße,wikidata,M,Q57351,way
Asamstraße,wikidata,M,Q879053,way
Baumgärtnerstraße,wikidata,M,Q588174,way
Biberstraße,wikidata,M,Q1560957,way
Biernerstraße,wikidata,M,Q2336023,way
Birknerstraße,wikidata,M,Q106254524,way
Bismarckstraße,wikidata,M,Q8442,way
Brennergasse,wikidata,M,Q106254570,way
Bürgermeister-Limmer-Weg,wikidata,M,Q106254658,way
Camerloherstraße,wikidata,M,Q1645868,way
Carl-Dettenhofer-Straße,wikidata,M,Q106254699,way
Carl-Orff-Straße,wikidata,M,Q44086,way
Christopher-Paudiß-Platz,wikidata,M,Q870457,way
Clemensänger-Ring,wikidata,M,Q565780,way
Clemensweg,wikidata,M,Q565780,way
Deutingerstraße,wikidata,M,Q108564,way
Dr.-Carl-Kraus-Straße,wikidata,M,Q1039285,way
Dr.-Hans-Eisenmann-Straße,wikidata,M,Q98722,way
Dr.-Hans-Raum-Straße,wikidata,M,Q1581917,way
Dr.-Holzner-Weg,wikidata,M,Q106254795,way
Dr.-Karl-Schuster-Straße,wikidata,M,Q1429161,way
Dr.-von-Daller-Straße,wikidata,M,Q805667,way
Düwellstraße,wikidata,M,Q1733588,way
Eckerstraße,wikidata,M,Q104370,way
Egilbertstraße,wikidata,M,Q1297963,way
Eichendorffstraße,wikidata,M,Q77204,way
Emil-Berg-Straße,wikidata,M,Q1335852,way
Feichtmayrstraße,wikidata,M,Q834175,way
Fellererstraße,wikidata,M,Q106254863,way
Ferdinand-Zwack-Straße,wikidata,M,Q106254915,way
Fürstendamm,wikidata,M,Q72026,way
Ganzenmüllerstraße,wikidata,M,Q1724390,way
Gaymannstraße,wikidata,M,Q106254940,way
General-von-Nagel-Straße,wikidata,M,Q106254952,way
General-von-Stein-Straße,wikidata,M,Q102136,way
Gentnerstraße,wikidata,M,Q1597312,way
Gerhart-Hauptmann-Straße,wikidata,M,Q43523,way
Goethestraße,wikidata,M,Q5879,way
Gregor-Mendel-Straße,wikidata,M,Q37970,way
Gutenbergstraße,wikidata,M,Q8958,way
Haggertystraße,wikidata,M,Q1768040,way
Hans-Carl-von-Carlowitz-Platz,wikidata,M,Q86590,way
Hans-Unterleitner-Weg,wikidata,M,Q1582844,way
Haydstraße,wikidata,M,Q55134300,way
Heckenstallerstraße,wikidata,M,Q1707320,way
Hecknerstraße,wikidata,M,Q106255122,way
Heiglstraße,wikidata,M,Q15453302,way
Heinbogenstraße,wikidata,M,Q106255164,way
Heinestraße,wikidata,M,Q44403,way
Henkelstraße,wikidata,M,Q1771930,way
Hermannstraße,wikidata,M,Q106255211,way
Hirtlederergasse,wikidata,M,Q106255241,way
Hittostraße,wikidata,M,Q1621227,way
Hofmillerstraße,wikidata,M,Q1704832,way
Hummelgasse,wikidata,M,Q106255270,way
Ignaz-Günther-Straße,wikidata,M,Q525374,way
Jochamstraße,wikidata,M,Q1884551,way
Johann-Braun-Straße,wikidata,M,Q106255294,way
Johannisstraße,wikidata,M,Q221522,way
Josef-Scheuerl-Straße,wikidata,M,Q106255308,way
Joseph-Schlecht-Straße,wikidata,M,Q1707968,way
