name,source,gender,wikidata,type
"Acheringer Hauptstraße",wikidata,,Q2633955,way
"Acheringer Straße",wikidata,,Q2633955,way
Adlerstraße,wikidata,,Q2092297,way
Ahornweg,wikidata,,Q42292,way
"Alte Akademie",wikidata,,Q882703,way
"Am Lohmühlbach",wikidata,,Q115787073,way
"Am Schafhof",wikidata,,Q2230105,way
"Am Staudengarten",wikidata,,Q824193,way
Amtsgerichtsgasse,wikidata,,Q98650820,way
Fischergasse,wikidata,,Q331432,way
Heiliggeistgasse,wikidata,,Q1581251,way
"Mainburger Straße",wikidata,,Q503661,way
"Mittlerer Graben",wikidata,,Q15848800,way
"Obere Domberggasse",wikidata,,Q1236902,way
"Obere Hauptstraße",wikidata,,Q1006835;Q468529,way
Plantagenweg,wikidata,,Q107481691,way
Saarstraße,wikidata,,Q1201,way
Schwalbenweg,wikidata,,Q39861,way
"Tuchinger Straße",wikidata,,Q2459100,way
Veitsmüllerweg,wikidata,,Q2323507,way
"Vöttinger Straße",wikidata,,Q1582117,way
"Weihenstephaner Berg",wikidata,,Q107475256,way
"Weihenstephaner Steig",wikidata,,Q107475256,way
Ziegelgasse,wikidata,,Q40089,way
Alleestraße,,,,way
Alpenstraße,,,,way
"Alte Poststraße",,,,way
"Altenhauser Fußweg",,,,way
"Altenhauser Straße",,,,way
"Alter Berg",,,,way
"Am Anger",,,,way
"Am Angerbach",,,,way
"Am Angerl",,,,way
"Am Baggersee",,,,way
"Am Bahndamm",,,,way
"Am Büchl",,,,way
"Am Hochfeld",,,,way
"Am Hochrain",,,,way
"Am Holzfeld",,,,way
"Am Kneippgarten",,,,way
"Am Kreuzfeld",,,,way
"Am Küchenfeld",,,,way
"Am Kuhberg",,,,way
"Am Mitterfeld",,,,way
"Am Moosanger",,,,way
"Am Neugereuth",,,,way
"Am Schleiferbach",,,,way
"Am Schulweg",,,,way
"Am Schwimmbad",,,,way
"Am Sonnenbichl",,,,way
"Am Sonnenfeld",,,,way
"Am Sportplatz",,,,way
"Am Stengerbach",,,,way
"Am Straßfeld",,,,way
"Am Vogelherd",,,,way
"Am Vogelsand",,,,way
"Am Wald",,,,way
"Am Waldrand",,,,way
"Am Weiherfeld",,,,way
"Am Wörth",,,,way
Amperweg,,,,way
Amselstraße,,,,way
Amselweg,,,,way
"An der Goldach",,,,way
"An der Moosach",,,,way
"An der Mühle",,,,way
"An der Stoibermühle",,,,way
Angerbadergasse,,,,way
Angerbrunnenstraße,,,,way
Angerstraße,,,,way
Angerweg,,,,way
Annenhofstraße,,,,way
Ast,,,,way
"Attachinger Weg",,,,way
Auenstraße,,,,way
"B 301",,,,way
"Bachinger Moos",,,,way
Bachstraße,,,,way
Badgasse,,,,way
Bahnhofplatz,,,,way
Bahnhofstraße,,,,way
Bahnstraße,,,,way
Bergstraße,,,,way
Besucherpark,,,,way
"Besucherpark Aussichtspunkt",,,,way
Birkenstraße,,,,way
Blumenstraße,,,,way
Böhmerwaldstraße,,,,way
Bourdonstraße,,,,way
Brachvogelweg,,,,way
Brücklangerstraße,,,,way
Brunnwiesenstraße,,,,way
Buchenweg,,,,way
"Burgrainer Straße",,,,way
Clemensänger-Ost,,,,way
Damm,,,,way
Dammweg,,,,way
Dorfstraße,,,,way
Drosselweg,,,,way
Dukatenweg,,,,way
Dürnast,,,,way
"Dürnaster Weg",,,,way
"Dürnecker Straße",,,,way
Eberhardsweg,,,,way
Eichenweg,,,,way
Eisvogelweg,,,,way
"Erdinger Straße",,,,way
"Erlauer Straße",,,,way
Erlenweg,,,,way
Eschenhain,,,,way
Eschenweg,,,,way
Eulenweg,,,,way
"FH Weihenstephan",,,,way
Fabrikstraße,,,,way
Fahrtrainingsplatz,,,,way
Falkenstraße,,,,way
Fasanenweg,,,,way
